proverbs
ဇရပ်မသွီး(မီးသွေး) တန်းထား(တံတား)မာချီး။
မောင်နန့်နှမ အယင်ရ။
သမီးခအို အယင်လို။
ခွီးကိုသတ်ချင် ခ(ခွီး)ချင် မျက်နှာကိုကြည့်။
လမ်းမသိဂေ ခွီးပဒုံးကိုဆွဲလို့လိုက်။
ခွီးပဒုံးကို ကျိုင်ဒေါက်စွပ်တေပိုင်။
လင်နန့်မယား ချာ(လျှာ)နန့်သွား။
ရွာကအမှုကျောင်းကိုပတ်။
ကျောင်းကအမှုရွာကိုပတ်။
မကောင်းဂေ ကျောင်းကိုပို့။
ဆရာမကောင်း တပည့်ဂေါင်း။
သားသမီးမကောင်း မိဖ(ဘ)ဂေါင်း။
တပည့်လိမ်မာ ဆရာအာပတ်လွတ်။
ခွီးပဇ(ပါးစပ်)က နတ်စကားပြောရေပိုင်။
အိပ်ရေအကြောင်း မိုးကျမရာ(နိုးမရာ)သိဖို့။
ဆွမ်းတဆုပ်နန့် ဖ(ဘု)ရားကိုရန်တိုက်တေပိုင်။
မသိဂေ မိန်း(မေး)၊ မစင်ဂေ ဆီး။
ဆပ်လှီးရာမာ ခွီးမျှော် မျှော်လို့။
လက်ပန်ပင်မာ ဇရွက်(ဇရက်)ကျ ကျလို့။
ချီးမစားရရေ ခွီးပိုင်။
ချီးမစားရရေခွီး ဂေါင်းကိုက်တေ။
ဒေါင်းကရေပိုင် ဖင်ဟဟောင်းနန့်။
တောမရရေ ခဲးဝါပိုင်။
ဆင်ကန်းတောတိုး။
ကြက်ကန်းဆန်တိုး။
ဆီးတောက်နိန်ရေငါးပိုင်။
ချ(ချီး)ဒုံးကြီဂေ ခွီးမစား၊ စကားကြီးဂေ လူမယုံ။
မပြောချင်ဂေ လွတ်တေ၊ မတော်ချင်လို့ မလွတ်။
သတိမမူ ဂူမမြင်၊ သတိဂေ မြူမြင်ရေ။
အဖထက်သားက တနှစ်ကြီး။
ကြိုးရေမိုးလဲး မရွာ၊ ရွာရေမိုးလဲး မကြိုး။
အရှက်မဟိ ပရစ်မျက်နှာ။
စိတ်ကောင်းဂေ ရူးရေလို့ထင်ရေ။
ငါးဘိုင်းသစ်ကိုင်း။
မဖြစ်သာကြံ နွားနန့်ထွန်၊ သီ(သေ)လတ်မေကြာက် ပေါက်တူးပေါက်။
ဆားမပါဂေ ပြာလဲးတမျိုးကောင်းရေဂါ။
သုံဒေါင်းထောင်းလို့ တဒေါင်းမပြည့်။
ဆီပါဂေ ရွှစာမုန့်လဲးကောင်းရေဂါ။
အလုပ်မမြင်ရဲသား(စစ်သား)ဝင် မဆိတ်ဖြူမတရိတ်ရ။
မိန်း(မီး)လောင်ရာမာ လီပင့်ရေ။
အစာကိုရာမြင် မျှားကိုမမြင်။
အတုကိုမြင် အတတ်သင်။
မျက်ကန်း ဆိပ်ဆီ(တစ္ဆေ)မကြောက်။
ဖြစ်သမျှအကြောင်း ကောင်းပါရာ။
မဟိတောင်း(တောင့်)တ ဟိမ့်ကြောင်းကြ။
ကုသိုလ်တသိုက် င/ရဲတပိသ်သာ။
ကံနန့်ခွီးလား ချီးနန့်တွိ့။
ကံနန့်သား ကျားမကိုက်။
ကံနန့်ခွီး နသွီး(နှုတ်သီး)ချီးမှန်။
ချီးစိုက်လူထက် မြင်လူရှက်။
ဇာတ်သမား မယား၊ ဖဲသမား ဒင်္ဂါး။
ယောကျ်ားကောင်းဂေ မောင်းမတထောင်၊ မ-(မိန်း)မကောင်းဂေ ကျောင်းကအကောင်။
အချိုရှာဂေ သကာတွိ့။
သ(သွား)ချီးတက်တေ ကြံကိုဝယ်စားဆိုဂေ နပျိုးသီးကိုဝယ်စားလာရေ။
မမိန်းဘဲမပြောဂေ့ မခေါ်ဘဲမထူးဂေ့။
အမှန်ဆို နာလိုခံခက် ဒေါသထွက်တေ။
"မရတမျိုး ရ,တမျိုး။"
မစားရဂေ’နင်’ စားရဂေ’လင်’။
ကြွက်ကိုမာန်ပါ အိမ်(ကျီ)ကိုမီးတိုက်။
ဗူးကောင်းဂေ စင်ခံ၊ လင်ကောင်းဂေ စံ။
အချိုက်လွန်ဂေ တူးရေ။
ရည်းစားတထောင် လင်ကောင်းတယောက်။
အဘိန်(ထမီ)ဆိုးကို ကြွက်ကိုက် ကိုက်လို့။
အရူးမဟင်းခူး။
ခေတ်မကောင်းလို့ ရူးကွန်ဆောင်ရေ။
သီဖို့အစ ဖျားရေ။
သီရာသီဖို့ ဝမ်းကျမစဲး။
အိုရာအိုရေ ဂြိုမကျိုး။
ကိုယ့်ထမင်းကိုယ်စားပြီး ယောက္ခမနွားကိုကျောင်းရေ။
ကိုယ်မွီးရေမျောက် ကိုယ့်ကိုခြောက်။
ကျမကောက် ပျောက်မရှာ။
ကလားခတ်တေရီ ကလားဖင်ဆီးဖို့တောင် မလောက်။
ကြောင်ကကြီဇပ် ကြွက်သီတတ်။
ချခြောက်ကို ချစိမ်းမလုပ်ကေ့။
ချီးစစ်သူမရှက် မြင်သူရှက်။
ချံပုံမှာ ချလောက်ပျော်ရေ။
ခွတ်တတ်လီယင့် ပြတ်လီယင့် ပြောတတ်လီယင့် မြတ်လီယင့်။
ငါးမဟိလို့ မျှိုင်စွန်ရေ။
ငါ့သမီးလှရေဆိုကေ ယောက်မမြင်းစီးထွက်တေ။
ငါ့သမီးလှရေဆိုကေ ကော့ပြရေ။
စာပါးသျှင်ကို မျောက်နှင်ရေ။
စားခါင/ကျော် ၊ ယောက်ခါ ငကြီး ခံလီရကေ ငကန်းကြီး။
စကားကြီးကေ လူမယုံ ချီးတုံးကြီးကေ ခွီးမစား။
စိတ်ကောင်း အခေါင်းကျန်။
စံဂိုးပြင်မှာ ကြွက်ပြီးပြီးလို့။
ဆင်လားကေ လမ်းမလို။
ဆူအောင်ကားစောင့် နပ်အောင်မစောင့်။
ဆိတ်မသီခင် လဇိမဖေါက်ကေ့။
ချီးပွဲမာ လူမွဲလာရေ။
တစ်ဖေါင်ဝါးကို တစ်လုံးတည်းနန့်ကန်ရေ။
တောင်းတတ်မှတ်တတ် သူတော်မြတ်။ မပီးပါလို သဝန်တို။
တစ်သက်လုံးစားကွမ်း သံဖရာ တစ်ခြမ်း။
ဒေါသကြီး၊ အရီး(အရေး)ကိုယ့်ဖို့။
ဓါတ်ချင်းခိုက်မှ နတ်ချင်းကြိုက်တေ။
နတ်ကြမ်းကို ပတ်ကြမ်းနန့်လိုက်တေ။
နောက်ကျကေ လဒမာအရိုး လူမှာအိုး။
ပြိန်းတောမှာ ဓါးကကလို့။
ပန်းတန်ယောင်သမီး ချတန်ယောင်ဖြစ်တေ။
ပြိုင်းတိုင်မြုပ်မြုပ်လို့ စစုန်းမြုပ်တယ်။
"ပေါ်စ,ခရမ်းသီး နပ်ချင်းညိမ်း။"
ပစကပျား ဝမ်းကမျှား။
ဖိတ်ချင်းဖိတ်ကေ ကိုယ့်အိတ်မှာဖိတ်။
မြတ်ဖို့လားလို့ နှင်းခံ တပွါယော့ရေ။
မြစ်တဖက်မှာ ဝက်လက်တင်ရေ။
မျောက်မာ သပြာ ရရလို့။
မစားရထက် မဝခက်(ညှက်)တေ။
မျက်နှာကြီးရာ ဟင်းဖတ်ပါ။
မျက်နှာမရ ပကျောကကျ။
မယားဆရာ လင်ငပြာ။
မနာလိုကေ သျှှံသျှားဖက်၊ နာလိုကေ ဒပြုတ်ဖက်။
ရီမြင်မှ လောပင့်ရေ။
ရီမမြင်ခင်ကပင် လောပင့်ရေ။
ရင်လောက်ခုန်မှ ခါးလောက်ကျရေ။
ရဲရေကျား ခုတ်မှာကျရေ။
ရွာသားညီ နွားခွက်စား။
ရောက်မလက်ခြင်းကို မှိုဟင်းခူးခါကပင် သိယင့်။
လက်သာမြင်ကေ လက်သဲရှည်ရေ။
လပြ ဆွမ်းတင်။
လူများကေ ချီးများရေ။
လူတေကျင်ကို မခင်လီကေ့။
လူနန့်ပေါင်း ကောက်ညှင်းပေါင်းလေ့မကောင်း။
လူမပေါ်ခင်ကပင် ချီးပေါ်ရေ။
လက်ညှိုးမကောင်း လက်ညှိုးဖြတ်၊ လက်မ မကောင်း လက်မဖြတ်။
သီဖို့နွား တောစပ်ကိုယောင်ရေ။
သီရာသီဖို့ ဝမ်းကျမတန့်။
အဂြိုမနိုင် နရွက်ကိုကိုင်။
အဖသျှစ်သောင်း သားကိုးသောင်း။
ကြီစပ်စော်က ရန်ရရေ။
အရူးကို နှင်းတောတိုးရေ။
ရူးကွန်ဆောင်လို့ အိမ်မာချီးစစ်တေ။
အချကြီဇပ် ခေါင်းတက် ခ(ခြီ)တက်၊ ခွီးကိုကြီဇပ် ပါးယက်နားယက်။
အမောင်လေ့ရောက်၊ ငါ့နွားပျာက်။
အမိကိုးရွာလည်ကေ သမီးဆယ်ရွာလည်ရေ။
အုန်းမာ သပြာကပ်ကပ်လို့။
အားကြီးရာ အာပတ်မလာ။
အားနာကေ ဝမ်းကြီးရေ။
